"strategy_id","primary_id","Edgar_Class","CSC.Sector","CSC.Subsector","value","Year","Gas","design_id","future_id","strategy","Code","Contry","source"
NA,NA,"AG - Crops:CH4","Agriculture","AG - Crops",0.002034284,2000,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"AG - Crops:N2O","Agriculture","AG - Crops",3.458507885,2000,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"AG - Livestock:CH4","Agriculture","AG - Livestock",11.3378669,2000,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.46368412,2000,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Building:CH4","Energy","EN - Building",0.062732475,2000,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Building:CO2","Energy","EN - Building",0.786817958,2000,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Building:N2O","Energy","EN - Building",0.010686182,2000,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Electricity/Heat:CH4","Energy","EN - Electricity/Heat",0.001910332,2000,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Electricity/Heat:CO2","Energy","EN - Electricity/Heat",6.576399613,2000,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Electricity/Heat:N2O","Energy","EN - Electricity/Heat",0.023993092,2000,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Fugitive Emissions:CH4","Energy","EN - Fugitive Emissions",0.307437392,2000,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Fugitive Emissions:CO2","Energy","EN - Fugitive Emissions",0.002828805,2000,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Fugitive Emissions:N2O","Energy","EN - Fugitive Emissions",0.000754357,2000,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Manufacturing/Construction:CH4","Energy","EN - Manufacturing/Construction",0.000973412,2000,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Manufacturing/Construction:CO2","Energy","EN - Manufacturing/Construction",0.625313618,2000,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Manufacturing/Construction:N2O","Energy","EN - Manufacturing/Construction",0.002017539,2000,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
